myGeneSym,direction,k,caseDataCount,controlDataCount,TE_fixed,TE_random,pval_fixed,pval_random,absFc,gpl,gse
CEACAM8,up,8.0,128.0,226.0,0.5006160472529912,0.9759211677391576,6.076383840536437e-11,3.35826864912292e-05,2.1790000000000003,5,4
PGLYRP1,up,8.0,128.0,226.0,0.2572768012636948,0.8437157522092933,5.8810968095457377e-08,0.00027890181521672547,2.012,5,4
MMP8,up,8.0,128.0,226.0,0.5781767989085813,0.7228541730209818,5.664357871637549e-12,4.755139548562326e-06,1.7619999999999998,4,3
DEFA4,up,9.0,135.0,231.0,0.4168014272747335,0.8704031887836945,3.096064982166524e-08,0.0008361426574683418,1.663,5,4
ORM1,up,10.0,175.0,210.0,0.20268409846136246,0.6417181374370658,4.6495914840516414e-06,0.0007450717353996161,1.4169999999999998,4,4
ARG1,up,9.0,135.0,231.0,0.3674838153217264,0.5216174459223293,5.018208071305708e-14,4.132392114719608e-06,1.37,5,4
CEACAM6,up,9.0,135.0,231.0,0.5706311630471447,0.6501835058468005,5.535201186290806e-10,0.0003052630087705399,1.32,5,4
CTSG,up,10.0,144.0,241.0,0.3555763388950578,0.6140360809494634,1.0775238479254767e-09,6.311469400221979e-05,1.212,5,4
OLFM4,up,8.0,130.0,163.0,0.4104236749359044,0.451996297393286,1.2028825646659413e-07,0.0007584695420326247,1.183,4,4
ELANE,up,8.0,128.0,226.0,0.3573613619981195,0.8072270655462029,2.1968574070996283e-08,0.00016250604376844002,1.151,5,4
BPI,up,9.0,135.0,231.0,0.3579455639319264,0.565095902892175,3.3221770689984003e-07,0.0006676676112149504,1.147,5,4
ORM2,up,10.0,173.0,273.0,0.2552985319662198,0.3533986201222968,1.8732655426845213e-09,4.549590307822982e-06,1.1320000000000001,4,3
TGFBR3,down,10.0,144.0,241.0,-0.1650942628118383,-0.3058634317883707,7.611685697295202e-07,0.0004301648145019765,0.6890000000000001,4,3
CYP4F3,up,9.0,135.0,231.0,0.14150315334733016,0.3998014779957476,0.000759447701146776,0.0007686270892008906,0.654,4,4
ACOX2,up,8.0,128.0,226.0,0.2471587913034253,0.2796019534910629,1.9486475588692545e-07,0.00026867622081461207,0.42700000000000005,5,4
WDR1,down,11.0,156.0,255.0,-0.030169662046280517,-0.2381894278008896,1.7562696469131108e-05,0.0008686679366622929,0.34600000000000003,4,4
FSTL3,up,9.0,137.0,236.0,0.11879517300839848,0.144712246674306,3.427162999836142e-06,0.000193977544552304,0.34299999999999997,4,4
