Denominator(s+s0),Fold Change,Gene ID,Gene Name,Numerator(r),Score(d),direction,gpl,gse,index,log2foldChange,myGeneId,myGeneSym,q-value(%),subset
0.154,1.762,GI_34147645-S,GI_34147645-S,0.818,5.308,up,GPL2700,GSE13052,,0.818,8985.0,PLOD3,0.0,Acute
0.129,1.594,GI_39930516-S,GI_39930516-S,0.672,5.224,up,GPL2700,GSE13052,,0.672,90378.0,SAMD1,0.0,Acute
0.196,1.938,GI_13259507-A,GI_13259507-A,0.955,4.86,up,GPL2700,GSE13052,,0.955,1639.0,DCTN1,0.0,Acute
0.172,1.759,GI_29171690-I,GI_29171690-I,0.815,4.746,up,GPL2700,GSE13052,,0.815,10994.0,ILVBL,0.0,Acute
0.221,2.057,GI_4506076-S,GI_4506076-S,1.04,4.716,up,GPL2700,GSE13052,,1.04,5589.0,PRKCSH,0.0,Acute
0.176,1.748,GI_38570061-S,GI_38570061-S,0.806,4.57,up,GPL2700,GSE13052,,0.806,51608.0,GET4,0.0,Acute
0.15,1.608,GI_5729839-S,GI_5729839-S,0.685,4.564,up,GPL2700,GSE13052,,0.685,10844.0,TUBGCP2,0.0,Acute
0.162,1.66,GI_5031956-A,GI_5031956-A,0.731,4.512,up,GPL2700,GSE13052,,0.731,10084.0,PQBP1,0.0,Acute
0.208,1.908,GI_7656994-S,GI_7656994-S,0.932,4.474,up,GPL2700,GSE13052,,0.932,23589.0,CARHSP1,0.0,Acute
0.17,1.694,GI_37541554-S,GI_37541554-S,0.761,4.471,up,GPL2700,GSE13052,,0.761,,,0.0,Acute
0.17,1.684,GI_31541963-S,GI_31541963-S,0.752,4.436,up,GPL2700,GSE13052,,0.752,435.0,ASL,0.0,Acute
0.259,2.218,GI_5454157-S,GI_5454157-S,1.149,4.43,up,GPL2700,GSE13052,,1.149,7407.0,VARS,0.0,Acute
0.194,1.815,GI_20070179-S,GI_20070179-S,0.86,4.421,up,GPL2700,GSE13052,,0.86,1978.0,EIF4EBP1,0.0,Acute
0.162,1.641,GI_31543062-S,GI_31543062-S,0.714,4.418,up,GPL2700,GSE13052,,0.714,132158.0,GLYCTK,0.0,Acute
0.231,2.026,GI_20149581-S,GI_20149581-S,1.018,4.401,up,GPL2700,GSE13052,,1.018,8685.0,MARCO,0.0,Acute
0.172,1.686,GI_4503320-S,GI_4503320-S,0.754,4.385,up,GPL2700,GSE13052,,0.754,1717.0,DHCR7,0.0,Acute
0.224,1.978,GI_19923809-S,GI_19923809-S,0.984,4.384,up,GPL2700,GSE13052,,0.984,54867.0,TMEM214,0.0,Acute
0.262,2.213,GI_5803016-S,GI_5803016-S,1.146,4.368,up,GPL2700,GSE13052,,1.146,2354.0,FOSB,0.0,Acute
0.233,2.021,GI_19923216-S,GI_19923216-S,1.015,4.353,up,GPL2700,GSE13052,,1.015,4288.0,MKI67,0.0,Acute
0.197,1.808,GI_31542746-S,GI_31542746-S,0.854,4.339,up,GPL2700,GSE13052,,0.854,118881.0,COMTD1,0.0,Acute
0.204,1.84,GI_40353770-S,GI_40353770-S,0.879,4.32,up,GPL2700,GSE13052,,0.879,23246.0,BOP1,0.0,Acute
0.156,1.588,GI_37551911-S,GI_37551911-S,0.667,4.291,up,GPL2700,GSE13052,,0.667,64857.0,PLEKHG2,0.0,Acute
0.342,2.758,GI_6005957-S,GI_6005957-S,1.464,4.281,up,GPL2700,GSE13052,,1.464,11326.0,VSIG4,0.0,Acute
0.209,1.855,GI_7669491-S,GI_7669491-S,0.891,4.272,up,GPL2700,GSE13052,,0.891,2597.0,GAPDH,0.0,Acute
0.201,1.811,GI_23510339-A,GI_23510339-A,0.857,4.257,up,GPL2700,GSE13052,,0.857,7317.0,UBA1,0.0,Acute
0.181,1.706,GI_33286417-A,GI_33286417-A,0.771,4.257,up,GPL2700,GSE13052,,0.771,5315.0,PKM,0.0,Acute
0.292,2.363,GI_32307180-S,GI_32307180-S,1.24,4.243,up,GPL2700,GSE13052,,1.24,160518.0,DENND5B,0.0,Acute
0.181,1.702,GI_4507320-S,GI_4507320-S,0.767,4.227,up,GPL2700,GSE13052,,0.767,6839.0,SUV39H1,0.0,Acute
0.248,2.069,GI_8922831-S,GI_8922831-S,1.049,4.223,up,GPL2700,GSE13052,,1.049,55771.0,PRR11,0.0,Acute
0.151,1.556,GI_19718752-S,GI_19718752-S,0.638,4.213,up,GPL2700,GSE13052,,0.638,8314.0,BAP1,0.0,Acute
0.148,1.536,GI_4826699-S,GI_4826699-S,0.619,4.177,up,GPL2700,GSE13052,,0.619,1785.0,DNM2,0.0,Acute
0.16,1.584,GI_5453661-S,GI_5453661-S,0.664,4.156,up,GPL2700,GSE13052,,0.664,7841.0,MOGS,0.0,Acute
0.202,1.79,GI_19924136-S,GI_19924136-S,0.84,4.152,up,GPL2700,GSE13052,,0.84,8438.0,RAD54L,0.0,Acute
0.266,2.145,GI_17986280-S,GI_17986280-S,1.101,4.136,up,GPL2700,GSE13052,,1.101,140465.0,MYL6B,0.0,Acute
0.21,1.824,GI_5454073-S,GI_5454073-S,0.867,4.125,up,GPL2700,GSE13052,,0.867,9612.0,NCOR2,0.0,Acute
0.194,1.74,GI_11056017-S,GI_11056017-S,0.799,4.112,up,GPL2700,GSE13052,,0.799,60314.0,C12orf10,0.0,Acute
0.161,1.582,GI_6031166-S,GI_6031166-S,0.662,4.103,up,GPL2700,GSE13052,,0.662,8733.0,GPAA1,0.0,Acute
0.174,1.64,GI_20149523-S,GI_20149523-S,0.713,4.1,up,GPL2700,GSE13052,,0.713,6829.0,SUPT5H,0.0,Acute
0.306,2.382,GI_27498545-S,GI_27498545-S,1.252,4.098,up,GPL2700,GSE13052,,1.252,154467.0,CCDC167,0.0,Acute
0.217,1.851,GI_23097284-I,GI_23097284-I,0.888,4.088,up,GPL2700,GSE13052,,0.888,29781.0,NCAPH2,0.0,Acute
0.16,1.572,GI_32469514-S,GI_32469514-S,0.652,4.086,up,GPL2700,GSE13052,,0.652,254552.0,NUDT8,0.0,Acute
0.335,2.582,GI_23238205-S,GI_23238205-S,1.369,4.084,up,GPL2700,GSE13052,,1.369,23495.0,TNFRSF13B,0.0,Acute
0.206,1.788,GI_22208974-A,GI_22208974-A,0.838,4.072,up,GPL2700,GSE13052,,0.838,3159.0,HMGA1,0.0,Acute
0.186,1.688,GI_40254858-S,GI_40254858-S,0.755,4.06,up,GPL2700,GSE13052,,0.755,23277.0,CLUH,0.0,Acute
0.214,1.823,GI_7661621-S,GI_7661621-S,0.866,4.058,up,GPL2700,GSE13052,,0.866,25906.0,ANAPC15,0.0,Acute
0.123,1.412,GI_14670391-A,GI_14670391-A,0.498,4.049,up,GPL2700,GSE13052,,0.498,9031.0,BAZ1B,0.0,Acute
0.248,2.001,GI_27894283-S,GI_27894283-S,1.001,4.042,up,GPL2700,GSE13052,,1.001,5023.0,P2RX1,0.0,Acute
0.161,1.568,GI_32455258-I,GI_32455258-I,0.649,4.028,up,GPL2700,GSE13052,,0.649,25824.0,PRDX5,0.249,Acute
0.212,1.804,GI_31341967-S,GI_31341967-S,0.851,4.012,up,GPL2700,GSE13052,,0.851,89958.0,SAPCD2,0.249,Acute
0.354,2.67,GI_9257231-S,GI_9257231-S,1.417,4.004,up,GPL2700,GSE13052,,1.417,5004.0,ORM1,0.249,Acute
0.166,1.58,GI_6912699-A,GI_6912699-A,0.66,3.979,up,GPL2700,GSE13052,,0.66,,,0.249,Acute
0.244,1.962,GI_20070124-S,GI_20070124-S,0.972,3.978,up,GPL2700,GSE13052,,0.972,5034.0,P4HB,0.249,Acute
0.158,1.546,GI_41117409-S,GI_41117409-S,0.628,3.973,up,GPL2700,GSE13052,,0.628,6284.0,S100A13,0.249,Acute
0.177,1.624,GI_14971416-S,GI_14971416-S,0.699,3.963,up,GPL2700,GSE13052,,0.699,10155.0,TRIM28,0.249,Acute
0.184,1.656,GI_11056035-S,GI_11056035-S,0.728,3.962,up,GPL2700,GSE13052,,0.728,23170.0,TTLL12,0.249,Acute
0.222,1.827,GI_34222291-S,GI_34222291-S,0.87,3.916,up,GPL2700,GSE13052,,0.87,7064.0,THOP1,0.249,Acute
0.227,1.849,GI_21614498-S,GI_21614498-S,0.886,3.9,up,GPL2700,GSE13052,,0.886,7430.0,EZR,0.249,Acute
0.155,1.518,GI_4505176-S,GI_4505176-S,0.602,3.882,up,GPL2700,GSE13052,,0.602,4255.0,MGMT,0.249,Acute
0.12,1.378,GI_29570781-S,GI_29570781-S,0.462,3.838,up,GPL2700,GSE13052,,0.462,171023.0,ASXL1,0.249,Acute
0.185,1.633,GI_21071031-S,GI_21071031-S,0.708,3.831,up,GPL2700,GSE13052,,0.708,51428.0,DDX41,0.249,Acute
0.253,1.95,GI_6453817-S,GI_6453817-S,0.964,3.816,up,GPL2700,GSE13052,,0.964,3835.0,KIF22,0.249,Acute
0.152,1.493,GI_37552388-S,GI_37552388-S,0.578,3.799,up,GPL2700,GSE13052,,0.578,203069.0,R3HCC1,0.249,Acute
0.164,1.54,GI_29725606-I,GI_29725606-I,0.623,3.79,up,GPL2700,GSE13052,,0.623,55898.0,UNC45A,0.249,Acute
0.532,4.034,GI_4827035-S,GI_4827035-S,2.012,3.784,up,GPL2700,GSE13052,,2.012,8993.0,PGLYRP1,0.249,Acute
0.172,1.571,GI_40068510-S,GI_40068510-S,0.652,3.781,up,GPL2700,GSE13052,,0.652,2068.0,ERCC2,0.393,Acute
0.145,1.463,GI_32455261-A,GI_32455261-A,0.549,3.779,up,GPL2700,GSE13052,,0.549,25824.0,PRDX5,0.393,Acute
0.199,1.683,GI_21389314-S,GI_21389314-S,0.751,3.777,up,GPL2700,GSE13052,,0.751,6576.0,SLC25A1,0.393,Acute
0.341,2.438,GI_12597652-S,GI_12597652-S,1.286,3.775,up,GPL2700,GSE13052,,1.286,64943.0,NT5DC2,0.393,Acute
