gene,CNV,bands,Size(Kb),#SNP,#Case,#Ctrl,P,OR
CACNA1B,dup,9q34.3,6.98,2,11,0,4.21E-04,
ECHS1,dup,10q26.3,8.89,2,10,0,8.54E-04,
PSMD1,del,2q37.1,10.51,1,14,2,1.77E-03,7.2
RANBP1,dup,22q11.21,9.62,1,13,3,9.24E-03,4.46
TUBA3C,dup,13q12.11,4.85,4,17,8,4.70E-02,2.18
TRAF2,dup,9q34.3,44.67,3,6,1,5.83E-02,6.16
RYR2,del,1q43,2.01,1,4,0,5.93E-02,
TJP1,del,15q13.1,365.84,62,4,0,5.93E-02,
HOMER3,dup,19p13.11,3.76,2,9,3,6.68E-02,3.08
CNR1,dup,6q15,2.98,1,15,8,9.39E-02,1.93
GRM1,del,6q24.3,18.44,3,2,0,2.44E-01,
GRM3,del,7q21.12,44.85,9,1,0,4.94E-01,
GRM4,del,6p21.31,86.47,26,0,1,1.00E+00,0
GRM5,del,11q14.3,73.18,7,4,0,5.96E-02,
GRM6,dup,5q35.3,234.49,51,0,2,5.00E-01,0
GRM7,del,3p26.1,28.26,11,2,0,2.44E-01,
GRM8,del,7q31.33,52.53,11,1,0,4.94E-01,
