Gene,Info,dCase,dCtrl,rCase,rCtrl,Inheritance,Pval,OR
GRM5,chr11 del intron,4,0,6,1,4:1:3 (62.5%),1.36E-06,38
GRM8,chr7 del exon,3,0,5,0,0:1:0 (100%),3.52E-06,
GRM7,chr3 del intron,4,0,2,0,0:2:0 (100%),8.14E-05,
GRM1,chr6 dup exon,5,2,3,0,2:0:0 (100%),1.05E-04,15
NEGR1,chr1 dup intron,4,0,1,0,0:3:0 (100%),3.91E-04,
DPP6,chr7 dup intron,5,0,3,2,1:2:0 (100%),4.08E-04,15
SGTB/NLN,chr5 del exon,4,0,2,1,2:0:2 (50%),4.68E-04,23
USP24e,chr1 del intron,2,0,4,2,1:0:3 (25%),1.54E-03,11
SLC7A10e,chr19 del intron,5,2,2,3,2:2:1 (80%),4.95E-03,5
CNTN4e,chr3 del intron,4,0,3,6,2:4:0 (100%),8.81E-03,4
CTNNA2e,chr2 dup intron,2,0,2,3,1:0:1 (50%),3.83E-02,5
LARP7,chr4 dup exon,2,0,2,3,0:0:0 (NA),3.83E-02,5
